id_moneda;moneda
NULL;Afgani
NULL;Lek
NULL;Euro
NULL;Riyal saudí
NULL;Dinar argelino
NULL;Peso argentino
NULL;Dram
NULL;Dólar australiano
NULL;Euro
NULL;Taka
NULL;Dinar bahreiní
NULL;Euro
NULL;Franco CFA de África Occidental
NULL;Kyat
NULL;Boliviano
NULL;Marco convertible
NULL;Pula
NULL;Real brasileño
NULL;Lev búlgaro
NULL;Franco CFA de África Occidental
NULL;Riel
NULL;Franco CFA de África Central
NULL;Dólar canadiense
NULL;Franco CFA de África Central
NULL;Peso chileno
NULL;Yuan
NULL;Euro
NULL;Peso colombiano
NULL;Franco comorense
NULL;Won surcoreano
NULL;Franco CFA de África Occidental
NULL;Colón costarricense
NULL;Kuna
NULL;Corona danesa
NULL;Dólar estadounidense
NULL;Libra egipcia
NULL;Dólar estadounidense
NULL;Dirham de los Emiratos Árabes Unidos
NULL;Euro
NULL;Euro
NULL;Euro
NULL;Dólar estadounidense
NULL;Euro
NULL;Birr etíope
NULL;Peso filipino
NULL;Euro
NULL;Euro
NULL;Franco CFA de África Central
NULL;Dalasi
NULL;Lari
NULL;Cedi ghanés
NULL;Euro
NULL;Quetzal
NULL;Lempira
NULL;Forinto
NULL;Rupia india
NULL;Rupia indonesia
NULL;Dinar iraquí
NULL;Rial iraní
NULL;Corona islandesa
NULL;Nuevo shekel israelí
NULL;Euro
NULL;Dólar jamaiquino
NULL;Yen
NULL;Dinar jordano
NULL;Tenge
NULL;Chelín keniano
NULL;Som kirguís
NULL;Kip
NULL;Euro
NULL;Libra libanesa
NULL;Dólar liberiano
NULL;Euro
NULL;Euro
NULL;Denar macedonio
NULL;Ariary malgache
NULL;Ringgit malayo
NULL;Kwacha malauí
NULL;Franco CFA de África Occidental
NULL;Euro
NULL;Dirham marroquí
NULL;Rupia mauriciana
NULL;Uguiya mauritana
NULL;Peso mexicano
NULL;Leu moldavo
NULL;Tugrik mongol
NULL;Euro
NULL;Metical mozambiqueño
NULL;Dólar namibio
NULL;Rupia nepalesa
NULL;Córdoba nicaragüense
NULL;Franco CFA de África Occidental
NULL;Naira
NULL;Corona noruega
NULL;Dólar neozelandés
NULL;Euro
NULL;Rupia pakistaní
NULL;Shekel israelí
NULL;Balboa
NULL;Guaraní paraguayo
NULL;Sol peruano
NULL;Z?oty polaco
NULL;Euro
NULL;Libra esterlina
NULL;Corona checa
NULL;Franco CFA de África Central
NULL;Franco congoleño
NULL;Peso dominicano
NULL;Leu rumano
NULL;Rublo ruso
NULL;Franco CFA de África Occidental
NULL;Dinar serbio
NULL;Leone
NULL;Dólar de Singapur
NULL;Rupia esrilanquesa
NULL;Rand sudafricano
NULL;Corona sueca
NULL;Franco suizo
NULL;Baht tailandés
NULL;Chelín tanzano
NULL;Somoni tayiko
NULL;Franco CFA de África Occidental
NULL;Dinar tunecino
NULL;Lira turca
NULL;Grivna ucraniana
NULL;Chelín ugandés
NULL;Peso uruguayo
NULL;Som uzbeko
NULL;Bolívar soberano
NULL;Dong vietnamita
NULL;Kwacha zambiano
NULL;Dólar zimbabuense
;
